testSeq,testFORM,AccNum
208,2015_2,PTE1850
200,2012_2,PTE1851
184,2013_2,PTE1851
207,2012_3,PTE1853
193,2013_3,PTE1853
86,2013_2,PTE1856
87,2014_2,PTE1856
83,2013_1,PTE1857
210,2015_2,PTE1857
84,2013_3,PTE1862
87,2015_2,PTE1862
85,2013_3,PTE1863
86,2015_3,PTE1863
87,2013_3,PTE1866
87,2015_3,PTE1866
186,2013_2,PTE1872
222,2015_1,PTE1872
187,2013_2,PTE1874
211,2015_2,PTE1874
197,2013_2,PTE1911
214,2015_2,PTE1911
202,2013_3,PTE1918
215,2015_2,PTE1918
109,2013_2,PTE2015
109,2015_3,PTE2015
36,2013_3,PTE2027
32,2015_2,PTE2027
147,2012_1,PTE203
153,2014_3,PTE203
43,2013_3,PTE2033
42,2015_1,PTE2033
112,2013_1,PTE2041
111,2015_3,PTE2041
110,2012_2,PTE2043
112,2014_2,PTE2043
111,2013_3,PTE2052
111,2015_2,PTE2052
201,2012_3,PTE2053
192,2013_1,PTE2053
203,2012_1,PTE2058
189,2013_3,PTE2058
218,2015_1,PTE2058
85,2013_1,PTE2062
86,2015_2,PTE2062
110,2013_2,PTE2074
113,2015_2,PTE2074
113,2012_2,PTE2089
111,2015_1,PTE2089
36,2013_1,PTE21
38,2015_3,PTE21
115,2013_2,PTE2145
117,2015_2,PTE2145
113,2012_3,PTE2149
113,2014_3,PTE2149
117,2013_2,PTE2156
119,2015_2,PTE2156
118,2013_1,PTE2160
117,2015_3,PTE2160
116,2012_3,PTE2217
120,2014_2,PTE2217
118,2012_2,PTE2233
118,2014_1,PTE2233
121,2013_1,PTE2256
119,2015_3,PTE2256
120,2012_2,PTE2285
121,2015_3,PTE2285
120,2012_3,PTE2289
122,2014_2,PTE2289
120,2012_1,PTE2301
123,2015_2,PTE2301
124,2012_2,PTE2319
125,2015_3,PTE2319
121,2012_1,PTE2333
122,2015_1,PTE2333
124,2013_3,PTE2341
125,2015_1,PTE2341
124,2012_3,PTE2347
123,2014_1,PTE2347
124,2012_1,PTE2356
125,2014_2,PTE2356
125,2013_2,PTE2359
126,2015_3,PTE2359
126,2012_2,PTE2373
130,2014_3,PTE2373
154,2013_3,PTE239
154,2015_2,PTE239
128,2012_2,PTE2391
129,2015_3,PTE2391
126,2012_3,PTE2392
126,2014_1,PTE2392
128,2013_3,PTE2411
128,2015_2,PTE2411
234,2012_2,PTE2412
223,2013_2,PTE2412
129,2012_1,PTE2426
129,2015_1,PTE2426
129,2012_3,PTE2432
130,2015_2,PTE2432
130,2012_2,PTE2435
130,2014_1,PTE2435
3,2012_1,PTE2613
3,2014_1,PTE2613
3,2013_2,PTE2615
2,2015_3,PTE2615
6,2013_2,PTE2646
5,2015_1,PTE2646
4,2012_2,PTE2653
8,2014_2,PTE2653
4,2013_3,PTE2683
4,2015_3,PTE2683
20,2012_1,PTE2713
20,2014_3,PTE2713
18,2012_3,PTE2714
21,2014_3,PTE2714
28,2012_2,PTE2717
29,2014_2,PTE2717
85,2012_3,PTE2725
83,2014_1,PTE2725
203,2012_2,PTE2728
205,2013_3,PTE2728
223,2015_2,PTE2728
98,2012_3,PTE2729
99,2014_1,PTE2729
217,2012_1,PTE2730
208,2013_1,PTE2730
113,2013_2,PTE2732
115,2015_3,PTE2732
136,2013_3,PTE2739
137,2015_3,PTE2739
171,2012_1,PTE2774
170,2014_1,PTE2774
69,2012_1,PTE28
65,2015_1,PTE28
141,2013_1,PTE2833
139,2015_2,PTE2833
140,2012_2,PTE2842
139,2014_2,PTE2842
172,2012_1,PTE2852
172,2014_1,PTE2852
139,2013_3,PTE2864
141,2015_2,PTE2864
140,2013_3,PTE2867
142,2015_2,PTE2867
143,2012_1,PTE2892
140,2015_1,PTE2892
143,2012_3,PTE2920
143,2015_2,PTE2920
173,2012_3,PTE2974
240,2015_3,PTE2974
132,2012_1,PTE2983
130,2015_1,PTE2983
131,2012_2,PTE3000
132,2014_2,PTE3000
133,2012_2,PTE3020
132,2014_1,PTE3020
135,2012_1,PTE3041
133,2014_1,PTE3041
134,2012_2,PTE3043
134,2014_1,PTE3043
135,2012_3,PTE3046
134,2014_2,PTE3046
137,2012_3,PTE3061
137,2014_1,PTE3061
137,2012_1,PTE3082
136,2015_3,PTE3082
135,2013_1,PTE3083
132,2015_1,PTE3083
135,2013_2,PTE3085
133,2015_1,PTE3085
136,2013_1,PTE3091
134,2015_1,PTE3091
145,2013_2,PTE3119
144,2015_3,PTE3119
146,2013_1,PTE3184
144,2015_1,PTE3184
146,2013_2,PTE3195
146,2015_3,PTE3195
146,2012_3,PTE3197
149,2014_3,PTE3197
71,2012_3,PTE32
75,2014_1,PTE32
174,2012_3,PTE3239
174,2014_1,PTE3239
148,2013_1,PTE3250
148,2015_2,PTE3250
72,2012_3,PTE33
72,2014_3,PTE33
154,2012_3,PTE3345
152,2015_1,PTE3345
156,2012_1,PTE3380
156,2014_1,PTE3380
156,2012_3,PTE3383
155,2015_1,PTE3383
156,2013_3,PTE3384
157,2015_2,PTE3384
157,2012_3,PTE3385
156,2014_3,PTE3385
156,2013_1,PTE3391
239,2015_3,PTE3391
157,2013_2,PTE3392
158,2015_2,PTE3392
157,2012_1,PTE3393
156,2015_1,PTE3393
157,2013_3,PTE3395
157,2015_1,PTE3395
158,2013_3,PTE3396
158,2015_1,PTE3396
159,2013_3,PTE3398
156,2015_3,PTE3398
157,2012_2,PTE3400
159,2015_1,PTE3400
160,2013_3,PTE3403
159,2015_2,PTE3403
160,2012_1,PTE3405
156,2014_2,PTE3405
